time,open,high,low,close
1382553000,200,200.01,199.5,200
1382553060,199.99,200,199.99,200
1382553120,200.2,200.25,200.2,200.2
1382553180,200.2,200.4,200.2,200.2
1382553240,200.2,200.2,200.2,200.2
1382553300,200.44,200.69,200.44,200.69
1382553360,200.44,201.96,200.44,201.96
1382553420,200.44,201.08,200.44,201.08
1382553480,201.08,201.08,200,200
1382553540,200,201.08,200,200.54
1382553600,200,200.54,199.58,200.54
1382553660,200.51,200.51,200.51,200.51
1382553720,200.51,200.51,200.51,200.51
1382553780,NaN,NaN,NaN,NaN
1382553840,200.34,200.34,200.34,200.34
1382553900,200.34,200.34,200.34,200.34
1382553960,200.28,200.28,199.6,199.6
1382554020,200,200.01,200,200.01
1382554080,NaN,NaN,NaN,NaN
1382554140,200.01,200.01,200,200.01
1382554200,200,200.31,200,200
1382554260,199.61,199.61,199.61,199.61
1382554320,199.6,199.6,199.6,199.6
1382554380,199.6,200,199.6,200
1382554440,199.59,199.59,199.49,199.49
1382554500,199.44,200,196.7,200
1382554560,198.45,198.45,197,197.96
1382554620,198,199.63,197.96,199
1382554680,199,200,199,200
1382554740,199.25,199.25,199.25,199.25
1382554800,199.13,199.13,199.13,199.13
1382554860,199.25,199.25,196.51,196.51
1382554920,196.4,199.03,196,198.59
1382554980,198.59,198.68,198.59,198.68
1382555040,198.68,198.68,198.4,198.4
1382555100,198.06,198.73,198.06,198.73
1382555160,198.21,198.21,197.68,197.68
1382555220,197.72,198.73,197.72,198.73
1382555280,198.38,198.73,198.38,198.73
1382555340,198.73,199.62,198.55,199.62
1382555400,199,199,198.74,199
1382555460,199,199,199,199
1382555520,198.99,199.18,198.99,199.18
1382555580,199.18,199.99,199.09,199.09
1382555640,199.01,199.99,199,199.99
1382555700,199.09,199.99,199,199.98
1382555760,199,199,199,199
1382555820,199.25,199.49,199.25,199.25
1382555880,NaN,NaN,NaN,NaN
1382555940,199.26,199.26,199.25,199.25
1382556000,199.13,199.3,199.13,199.3
1382556060,199.37,199.37,199.37,199.37
1382556120,NaN,NaN,NaN,NaN
1382556180,NaN,NaN,NaN,NaN
1382556240,199.37,199.37,199.37,199.37
1382556300,199.3,199.3,199.3,199.3
1382556360,199.02,199.02,199.02,199.02
1382556420,199.3,199.3,199.3,199.3
1382556480,NaN,NaN,NaN,NaN
1382556540,199.11,199.11,199.11,199.11
1382556600,NaN,NaN,NaN,NaN
1382556660,199.11,199.11,199.11,199.11
1382556720,199.11,199.11,199.02,199.09
1382556780,199,199.3,199,199.3
1382556840,198.63,198.63,198.63,198.63
1382556900,198.6,198.63,198.6,198.63
1382556960,NaN,NaN,NaN,NaN
1382557020,199.29,199.29,199.29,199.29
1382557080,199.29,199.29,198.47,198.47
1382557140,198.48,198.48,198.48,198.48
1382557200,198.48,199.3,198.48,199.3
1382557260,199.29,199.29,199.29,199.29
1382557320,199.29,199.29,199.29,199.29
1382557380,199.3,200.05,199.3,200.05
1382557440,200.04,200.4,200.04,200.4
1382557500,200.4,200.98,200.4,200.98
1382557560,200.99,200.99,200.99,200.99
1382557620,201,201,200.05,200.05
1382557680,NaN,NaN,NaN,NaN
1382557740,200.05,201,200.05,201
1382557800,201,201.03,201,201
1382557860,201.03,201.31,201.03,201.31
1382557920,201.31,201.97,201.08,201.97
1382557980,201.98,202.64,201.98,202.01
1382558040,202.64,202.99,202.64,202.99
1382558100,202.99,202.99,202.71,202.99
1382558160,202.99,203,202,202.99
1382558220,202.99,202.99,202.99,202.99
1382558280,202.99,203.28,202.99,203.15
1382558340,203.15,203.52,203.15,203.52
1382558400,203.52,203.68,202.99,202.99
1382558460,203.66,203.66,203.29,203.29
1382558520,203.28,203.28,203.17,203.28
1382558580,203.17,203.28,203.17,203.28
1382558640,203.29,203.45,203.29,203.29
1382558700,203.29,203.66,203.29,203.66
1382558760,203.66,203.68,203.66,203.68
1382558820,203.68,203.79,203.68,203.68
1382558880,203.68,203.68,203.66,203.68
1382558940,203.68,203.68,203.66,203.66
1382559000,203.68,203.68,203.49,203.49
1382559060,203.49,203.49,203.45,203.45
1382559120,203.68,203.68,203.29,203.29
1382559180,203.29,203.45,203.29,203.45
1382559240,203.45,203.45,203.45,203.45
1382559300,203.45,203.65,203.28,203.65
1382559360,203.68,203.79,203.68,203.79
1382559420,203.68,203.74,203.65,203.65
1382559480,203.74,203.74,203.65,203.65
1382559540,203.65,203.74,203.65,203.74
1382559600,203.74,203.74,203.74,203.74
1382559660,203.74,203.79,203.7,203.79
1382559720,203.85,203.85,203.85,203.85
1382559780,203.85,203.85,203.84,203.85
1382559840,203.85,203.85,203.85,203.85
1382559900,203.85,203.85,203.85,203.85
1382559960,203.78,203.85,203.78,203.85
1382560020,203.79,203.79,203.78,203.78
1382560080,203.74,203.74,203.74,203.74
1382560140,203.78,203.78,203.78,203.78
1382560200,203.84,203.84,203.7,203.7
1382560260,203.68,203.68,203.65,203.65
1382560320,203.65,203.65,203.2,203.23
1382560380,203.17,203.7,203,203.68
1382560440,203.11,203.11,202.9,202.9
1382560500,202.81,202.81,202.8,202.8
1382560560,202.8,202.8,202.8,202.8
1382560620,202.8,202.8,201.83,201.83
1382560680,201.79,201.79,200.02,200.02
1382560740,200.76,200.76,200.59,200.59
1382560800,200.59,200.76,200,200.76
1382560860,200.76,200.76,200.76,200.76
1382560920,200.28,200.28,200.28,200.28
1382560980,200.76,200.76,200.3,200.76
1382561040,200.76,200.76,200.76,200.76
1382561100,200.76,201.2,200.76,201.2
1382561160,201.5,201.5,201.5,201.5
1382561220,201.52,202.18,201.52,202.18
1382561280,202.18,202.29,202.18,202.29
1382561340,202.27,202.39,202.27,202.39
1382561400,202.38,202.48,202.38,202.39
1382561460,202.39,202.48,202.39,202.39
1382561520,202.39,202.48,202.3,202.3
1382561580,202.3,202.3,202.29,202.3
1382561640,202.29,202.3,202.29,202.3
1382561700,202.3,202.3,202.29,202.29
1382561760,202.29,202.3,202.29,202.3
1382561820,202.3,202.3,202.3,202.3
1382561880,202.3,202.3,202.3,202.3
1382561940,202.3,202.3,202.29,202.3
1382562000,202.3,202.3,202.3,202.3
1382562060,202.29,202.3,201.7,202.3
1382562120,202.3,202.3,202.3,202.3
1382562180,202.3,202.31,202.3,202.31
1382562240,202.31,202.31,202.31,202.31
1382562300,NaN,NaN,NaN,NaN
1382562360,202.3,202.3,202.3,202.3
1382562420,202.3,202.48,202.3,202.48
1382562480,201.45,202.48,201.45,202.48
1382562540,NaN,NaN,NaN,NaN
1382562600,202.46,202.46,202.46,202.46
1382562660,201.57,201.57,201.57,201.57
1382562720,201.62,201.62,201.62,201.62
1382562780,NaN,NaN,NaN,NaN
